ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
6,"(393, 239)","(403, 240)","(402, 249)","(393, 248)",12.919001312952298,4.490471992763727
6,"(450, 261)","(461, 261)","(461, 271)","(451, 272)",10.987465303516368,-6.2844262172989565
6,"(513, 242)","(523, 242)","(523, 253)","(512, 253)",10.315584001861353,1.6453936886517633
6,"(513, 244)","(523, 245)","(523, 255)","(513, 255)",10.938623448014626,-1.0418748124602328
6,"(522, 253)","(533, 253)","(533, 264)","(522, 264)",10.362834486634407,-4.347756965485552e-10
6,"(514, 256)","(525, 256)","(524, 267)","(514, 267)",10.28333836303021,-3.9270379278955234
6,"(502, 259)","(513, 259)","(513, 270)","(502, 270)",10.391850448220149,2.2632782521851285e-10
6,"(492, 234)","(503, 234)","(502, 246)","(491, 245)",9.897305928638108,4.141367572024226
6,"(463, 242)","(474, 241)","(475, 253)","(464, 254)",9.6822325802281,-3.0044999494557754
6,"(454, 270)","(466, 270)","(467, 282)","(455, 282)",9.460388993285795,0.3778891595379136
6,"(481, 258)","(493, 258)","(493, 271)","(481, 271)",8.881637506431584,1.6248117370390467
6,"(484, 262)","(496, 261)","(497, 273)","(484, 274)",9.126963435745635,-4.546006057695031
6,"(473, 282)","(486, 282)","(487, 294)","(475, 295)",8.968126911451876,-5.1853528691900665
6,"(442, 260)","(455, 259)","(456, 273)","(443, 274)",8.301814665062466,-2.8296503790708885
6,"(444, 278)","(457, 276)","(459, 290)","(445, 291)",8.494519836688687,-6.359114116377458
6,"(480, 263)","(495, 262)","(495, 276)","(481, 276)",8.024017584942163,-3.5540313489324613
6,"(492, 262)","(506, 261)","(507, 276)","(493, 276)",7.918664674587246,-1.1232339481637088
6,"(495, 266)","(510, 265)","(510, 280)","(495, 280)",7.601430762227244,-1.855821805897279
6,"(486, 284)","(501, 282)","(502, 297)","(487, 298)",7.584757499743678,-5.7473585280611905
6,"(445, 260)","(460, 259)","(461, 274)","(446, 276)",7.391133764159918,-10.682072842492623
6,"(430, 267)","(446, 265)","(447, 281)","(432, 282)",7.454439259051243,-5.435969522452395
6,"(416, 289)","(432, 287)","(434, 302)","(418, 305)",7.242474051296273,-12.296717072533255
6,"(456, 278)","(473, 277)","(474, 293)","(457, 295)",6.768099783001067,-7.7313458704990845
6,"(457, 270)","(474, 268)","(476, 284)","(459, 286)",6.8544662818873485,-7.756401709105015
6,"(466, 274)","(483, 272)","(484, 290)","(467, 291)",6.5054366179690115,-4.186855689992811
6,"(467, 272)","(485, 271)","(485, 288)","(468, 290)",6.375739951787161,-8.4484299691779
6,"(476, 250)","(494, 249)","(495, 267)","(477, 268)",6.376346369801667,-3.179830114571515
6,"(466, 274)","(484, 273)","(485, 291)","(467, 292)",6.3711134950591735,-3.179830119807909
6,"(443, 268)","(461, 267)","(463, 285)","(444, 286)",6.385546234330144,-4.720384083966881
6,"(436, 267)","(455, 266)","(457, 285)","(438, 286)",6.079845319072647,-2.9802511498789155
6,"(450, 255)","(471, 254)","(472, 274)","(451, 275)",5.600759794833625,-3.6418319625216813
6,"(460, 272)","(481, 270)","(483, 290)","(462, 292)",5.546399371305452,-6.324781578774137
6,"(460, 276)","(481, 274)","(483, 296)","(462, 297)",5.348902922678716,-3.556776440589013
6,"(439, 296)","(461, 294)","(462, 316)","(441, 318)",5.20193423259834,-8.419231907947637
6,"(393, 296)","(417, 294)","(418, 317)","(395, 318)",5.1315461684122115,-4.367346279802976
6,"(383, 294)","(406, 293)","(408, 316)","(385, 318)",4.992900912623288,-7.479908028259366
6,"(380, 297)","(405, 295)","(407, 318)","(383, 321)",4.917853767378799,-8.493329644008455
6,"(385, 294)","(410, 290)","(412, 314)","(387, 317)",4.705265796192027,-8.287052649530708
6,"(386, 290)","(412, 287)","(414, 313)","(388, 315)",4.527228329465458,-5.681275368425098
6,"(389, 294)","(416, 292)","(418, 319)","(391, 321)",4.322657133173034,-4.236394799059317
6,"(375, 311)","(403, 309)","(405, 337)","(378, 339)",4.188042930142829,-3.9200230568090384
6,"(382, 294)","(411, 292)","(413, 320)","(384, 322)",4.152878755647133,-4.573808570108084
