FrameID,ID,QR 2D,QR 3D: dis,QR 3D: yaw,QR 3D: pitch,QR 3D: roll
338,1,"[(703, 120), (742, 124), (739, 165), (700, 163)]",2.857506696342879,0.9118303440639579,-12.482243098439879,-169.50121241275076
339,1,"[(713, 117), (755, 120), (752, 163), (710, 161)]",2.75991778524581,2.5766333413125153,-3.1958482406698,-171.51039450697633
340,1,"[(732, 109), (777, 111), (773, 157), (730, 155)]",2.644523571212922,7.4486553437022,16.02897853700149,-157.39580802726726
341,1,"[(732, 122), (777, 124), (774, 171), (730, 169)]",2.56516447408546,0.6473104140786461,-6.857243455884945,-170.16255856799586
342,1,"[(759, 103), (807, 104), (805, 156), (757, 155)]",2.3587839057598528,-1.5170171527479681,-9.254989176111806,-168.74420568077704
343,1,"[(769, 123), (820, 125), (819, 175), (768, 176)]",2.3069893152981944,0.4569212947234007,-0.9090820025284418,-177.4391192914218
344,1,"[(806, 102), (862, 102), (862, 160), (806, 160)]",2.095484799986366,-1.1030798841005947,-3.850324062924407,-176.43892424166256
345,1,"[(848, 125), (907, 127), (907, 189), (847, 187)]",1.943247038734527,0.31219624993994444,-6.1745802189954855,-179.6750666250302
365,3,"[(487, 122), (503, 123), (502, 139), (486, 139)]",7.1711886684250095,-6.335332821498412,-26.70008519514338,-147.21511375102614
366,3,"[(492, 123), (509, 124), (508, 140), (492, 139)]",7.247485673676186,-0.26660265092942836,-13.324872674036255,-145.33548259986608
369,3,"[(503, 158), (521, 159), (521, 177), (503, 179)]",6.0549147643277275,-9.704854615022612,-30.036017498280305,-154.48998304816683
370,3,"[(486, 153), (504, 152), (505, 170), (487, 173)]",6.132031650810276,-14.391981641018134,-27.763284066376357,-147.30858724750678
371,3,"[(495, 170), (513, 170), (512, 189), (496, 189)]",6.867396620373853,-3.4239288039608198,-18.273743735596476,-164.43506512265176
373,3,"[(542, 145), (561, 146), (559, 166), (541, 165)]",5.913803211480318,-4.127927665903684,-26.650470968338123,-155.8462128100292
374,3,"[(544, 159), (564, 161), (563, 180), (544, 180)]",5.917836908388064,-0.7250396835303832,-14.881779848602454,-164.63772889948237
375,3,"[(547, 169), (567, 168), (567, 190), (548, 191)]",5.3491131077609175,-10.569688983279462,-29.83001925682665,-158.3105601266584
377,3,"[(527, 150), (549, 151), (548, 173), (528, 173)]",5.314393277081342,-5.121559159928751,-24.4250693298283,-162.9362575787896
378,3,"[(504, 133), (526, 132), (527, 155), (506, 156)]",5.270828351175722,-9.603742528661542,-23.429238989636772,-159.0952614155931
379,3,"[(512, 165), (535, 164), (536, 188), (514, 190)]",4.832992688879148,-11.008983013401036,-27.619922262307952,-159.12850904384027
380,3,"[(523, 176), (547, 175), (548, 197), (525, 200)]",4.876361336046899,-8.183743687152543,-14.060188256399536,-148.49007139689965
381,3,"[(542, 135), (567, 135), (566, 159), (542, 159)]",4.733537094878193,-3.6233695494074425,-13.325627779201788,-145.01515154321356
382,3,"[(560, 151), (585, 151), (585, 177), (561, 177)]",4.7255970838886965,-0.5670013984322679,-2.255508686667967,-165.61026342606138
383,3,"[(562, 155), (587, 154), (588, 181), (563, 182)]",4.393038163148644,1.1657051480206917,13.942182025151112,-169.5568483723109
384,3,"[(554, 162), (580, 161), (580, 187), (554, 188)]",4.368037252781164,-0.713197450571613,6.284910633099545,176.46622471727383
386,3,"[(551, 148), (578, 148), (577, 177), (551, 177)]",4.090540880401832,-6.831434332348948,-25.617177749507423,-158.09626938519074
387,3,"[(552, 140), (580, 140), (580, 169), (553, 170)]",4.047670875098185,-6.860038668824586,-21.300018643802186,-159.7102242914852
388,3,"[(562, 135), (591, 134), (592, 164), (563, 166)]",3.892475557792756,-7.61419694358986,-16.959175103042316,-155.85961371979144
389,3,"[(573, 149), (603, 147), (605, 177), (575, 180)]",3.809315313785169,-7.325955812267296,-10.065660349862613,-153.76603020294309
390,3,"[(604, 117), (635, 117), (635, 149), (604, 150)]",3.6943442289598716,-4.24052489345587,-11.544155150561858,-157.0068289356508
391,3,"[(629, 126), (662, 126), (664, 160), (630, 160)]",3.4091390159088797,-2.4946528255855185,-9.169453453765723,179.74665031300654
392,3,"[(665, 144), (699, 142), (700, 178), (666, 179)]",3.3485683938319335,0.8803504151369168,13.692285029193224,-166.4158637415267
393,3,"[(675, 140), (711, 137), (711, 175), (676, 176)]",3.1992380595744105,0.9226772381918522,16.192447084618795,-172.02885087418332
394,3,"[(688, 105), (724, 104), (725, 143), (689, 145)]",3.084778206682597,-6.332397432282647,-13.398313276698017,-165.1259906701397
395,3,"[(698, 104), (736, 101), (737, 141), (700, 143)]",3.089389393942739,1.1092143712970426,16.3268217599417,-161.75875869898678
396,3,"[(708, 64), (748, 62), (750, 105), (709, 108)]",2.8791775823867054,-5.412836966667669,-5.916936025351797,-165.56766053842597
397,3,"[(728, 74), (771, 71), (773, 117), (730, 120)]",2.704437897291686,-5.685040705226527,-5.345119794731797,-167.25898628221887
398,3,"[(792, 44), (840, 42), (839, 93), (792, 95)]",2.5268225757710563,-3.4329759854468307,-2.826060940571474,-165.20624545089467
399,3,"[(850, 44), (902, 43), (901, 97), (850, 99)]",2.36535110178663,-2.561641722451384,-2.541303649309747,-170.8857697106622
400,3,"[(888, 47), (942, 45), (942, 101), (888, 103)]",2.3060791731110797,-2.2746042328062117,-0.484917976432205,-173.60797635955103
419,2,"[(273, 63), (305, 62), (304, 102), (274, 103)]",3.314708947688719,-36.53800639010964,-57.54977327498842,-126.64389818178296
423,5,"[(69, 77), (87, 78), (87, 96), (69, 95)]",8.053416854699275,2.6493850178746357,-1.750997131152742,-176.06421767576532
424,2,"[(629, 64), (660, 61), (656, 102), (625, 104)]",3.005040389782958,10.525684332119937,37.10334608989963,-172.24738813309114
