FrameID,ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
721,0,"(493, 224)","(520, 222)","(521, 248)","(495, 250)",4.314137622454632,-7.3293188802589055
722,0,"(492, 240)","(519, 238)","(521, 265)","(494, 267)",4.230697046752896,-4.236394791075593
723,0,"(526, 232)","(554, 230)","(555, 258)","(527, 260)",3.9955525182032146,-3.21481039131097
724,0,"(532, 232)","(561, 230)","(563, 259)","(534, 261)",3.917592472639222,-3.9451862290378195
725,0,"(540, 230)","(570, 228)","(572, 257)","(542, 259)",3.798829727395351,-4.271543420501399
726,0,"(555, 230)","(586, 228)","(587, 259)","(556, 261)",3.6045047586642625,-2.7585913459870444
727,0,"(544, 232)","(577, 229)","(579, 261)","(546, 264)",3.4146390056861033,-4.813289158746783
728,0,"(508, 241)","(541, 240)","(543, 272)","(509, 274)",3.4229450161539514,-3.1191992007613445
729,0,"(482, 233)","(517, 231)","(519, 265)","(484, 267)",3.3042382495490865,-3.884331421616032
730,0,"(454, 247)","(490, 244)","(492, 279)","(456, 282)",3.1943902946183966,-4.812471486946602
731,0,"(450, 254)","(486, 251)","(489, 287)","(453, 290)",3.1889149326497415,-4.763641690652413
732,0,"(454, 254)","(492, 252)","(495, 289)","(457, 292)",3.064756565947216,-5.965856703239685
733,0,"(432, 253)","(471, 251)","(474, 289)","(435, 292)",3.0042636477078655,-6.385275854920118
734,0,"(445, 242)","(485, 239)","(488, 278)","(448, 281)",2.9156416945581416,-4.904628653072087
735,0,"(453, 240)","(494, 238)","(497, 280)","(455, 282)",2.7558988829103397,-2.628795341004499
736,0,"(453, 240)","(494, 238)","(497, 280)","(455, 282)",2.7558988829103397,-2.628795341004499
737,0,"(426, 245)","(471, 243)","(473, 286)","(429, 289)",2.6357156770087604,-6.189054234171296
738,0,"(391, 216)","(436, 214)","(440, 258)","(394, 261)",2.643398318609291,-4.397131149220407
739,0,"(360, 230)","(407, 228)","(408, 274)","(361, 276)",2.537713704835383,-2.618961482818402
740,0,"(299, 228)","(350, 224)","(355, 272)","(304, 277)",2.46887228120757,-6.414999231275605
741,0,"(286, 204)","(340, 199)","(345, 251)","(292, 255)",2.3605067831161586,-5.997933421418339
742,0,"(275, 194)","(330, 191)","(335, 244)","(280, 248)",2.3060594077639207,-4.734482225316433
743,0,"(270, 194)","(328, 191)","(331, 247)","(274, 251)",2.1710682281056237,-3.8749411484832135
744,0,"(265, 220)","(323, 216)","(330, 273)","(272, 278)",2.150229199933629,-4.933708115535277
745,0,"(228, 206)","(291, 203)","(295, 262)","(233, 265)",2.1159559316426457,-4.256640165052161
746,0,"(192, 195)","(258, 194)","(262, 255)","(196, 258)",2.0590331677862816,-3.405464220296566
747,0,"(167, 190)","(234, 188)","(239, 253)","(171, 255)",1.9976243315175788,-2.742144654331292
748,0,"(140, 188)","(212, 187)","(217, 255)","(146, 257)",1.9292147889036961,-2.332016344186828
749,0,"(139, 182)","(212, 180)","(218, 247)","(146, 250)",1.9551220632508626,-4.007955131913453
750,0,"(61, 158)","(143, 157)","(147, 231)","(67, 233)",1.8435889937113574,-3.0110657012496223
757,7,"(825, 313)","(820, 262)","(876, 255)","(882, 307)",2.1190302107896195,-91.77904217734046
758,7,"(711, 269)","(708, 217)","(762, 211)","(764, 263)",2.116001891946929,-96.1445450421324
759,7,"(692, 266)","(689, 215)","(742, 209)","(745, 261)",2.138976479574039,-92.48873216817762
760,7,"(619, 243)","(619, 193)","(672, 188)","(672, 240)",2.106876482016646,-89.88183922065889
761,7,"(572, 270)","(570, 220)","(621, 215)","(622, 266)",2.182371401826422,-92.08909386045664
762,7,"(512, 271)","(509, 222)","(558, 217)","(562, 267)",2.27242136272642,-94.41436183575259
763,7,"(396, 253)","(392, 203)","(442, 199)","(445, 249)",2.345100009386068,-94.13904171434163
764,7,"(349, 267)","(346, 216)","(396, 213)","(399, 263)",2.354354600034246,-93.66659674213767
765,7,"(320, 276)","(315, 225)","(367, 221)","(371, 271)",2.3685649015175496,-88.22621153239189
766,7,"(319, 279)","(313, 227)","(365, 223)","(369, 274)",2.341574207705209,-89.7205977807574
767,7,"(333, 280)","(328, 227)","(380, 223)","(385, 275)",2.284151636132744,-94.84809145668044
768,7,"(361, 281)","(356, 228)","(410, 224)","(415, 277)",2.235296288343683,-94.83606318766594
769,7,"(398, 279)","(392, 225)","(446, 220)","(451, 274)",2.1712105607789547,-95.18799905582128
770,7,"(452, 284)","(448, 228)","(503, 224)","(507, 280)",2.061366885290487,-93.7574397433898
771,7,"(472, 262)","(469, 204)","(526, 200)","(529, 258)",1.9790268371575934,-93.09273680898227
772,7,"(501, 274)","(498, 213)","(556, 209)","(559, 270)",1.8816065737660888,-92.57695907415413
773,7,"(509, 279)","(506, 216)","(566, 213)","(569, 275)",1.8363830988422183,-91.14749733526276
774,7,"(516, 279)","(513, 215)","(575, 211)","(578, 274)",1.7903494545571137,-92.86512358591106
775,7,"(528, 260)","(528, 188)","(593, 186)","(592, 257)",1.608893440802206,-87.8408586984768
776,7,"(548, 284)","(544, 215)","(610, 210)","(613, 278)",1.656777957277662,-91.81681545682163
777,7,"(547, 258)","(543, 188)","(611, 182)","(614, 252)",1.6282862119970885,-92.93634840273133
778,7,"(533, 262)","(528, 185)","(599, 179)","(603, 255)",1.5058348615839634,-91.97748487036976
779,7,"(540, 266)","(535, 187)","(608, 182)","(612, 258)",1.4799648690776723,-92.0954218870012
780,7,"(568, 284)","(563, 201)","(640, 196)","(642, 278)",1.3861827176612196,-91.84188067811924
781,7,"(639, 319)","(636, 229)","(719, 223)","(721, 311)",1.266604709734091,-92.34408107988871
782,7,"(638, 325)","(637, 232)","(722, 229)","(722, 319)",1.2333549073227372,-90.93050296432122
783,7,"(644, 334)","(642, 240)","(728, 235)","(728, 327)",1.210039860915998,-91.34479035196426
784,7,"(641, 327)","(640, 232)","(725, 227)","(726, 320)",1.2007942030052825,-91.34870913741109
785,7,"(640, 316)","(639, 218)","(726, 213)","(726, 309)",1.1679922720760627,-91.05824219878306
786,7,"(671, 314)","(669, 213)","(759, 208)","(758, 306)",1.1422863100828968,-91.54483982927728
787,7,"(688, 297)","(688, 195)","(779, 190)","(777, 290)",1.1345038470478277,-91.19757483607475
788,7,"(710, 290)","(710, 182)","(805, 177)","(802, 282)",1.0842715726236403,-91.43359615158718
789,7,"(683, 302)","(682, 192)","(778, 186)","(777, 292)",1.058774127818872,-91.76904184806308
790,7,"(668, 333)","(669, 219)","(767, 215)","(763, 325)",1.0109135239257425,-89.98744202920702
791,7,"(687, 335)","(690, 218)","(789, 214)","(785, 326)",0.9895100867313313,-89.96106170057419
792,7,"(715, 335)","(717, 214)","(819, 210)","(815, 326)",0.9641262393690387,-90.58071211703346
793,7,"(719, 331)","(722, 210)","(825, 206)","(820, 323)",0.9619495738310387,-90.27111965443831
794,7,"(738, 332)","(740, 206)","(848, 201)","(843, 323)",0.9281581431056626,-90.91297929165414
795,7,"(738, 332)","(741, 205)","(848, 201)","(843, 323)",0.9247356590071512,-90.64754155198388
796,7,"(755, 338)","(758, 207)","(871, 202)","(865, 328)",0.8972744148849876,-90.94780600305754
797,7,"(787, 323)","(793, 182)","(915, 178)","(905, 314)",0.8469085785234354,-90.55068241421965
